id,name,description
1,Match Stick LED Ceiling Fixture,"Matte black LED ceiling fixture with frosted white diffusers. Adjustable hanging cord (1.8m). Supports three color temperatures: 3000K, 4500K, 6000K. Remote included. Not dimmable."
2,Stick Pendant Frame Fixture,"Matte black frame LED ceiling fixture with hanging stick pendants and chrome hardware. Adjustable cords (1.8m, 1.7m, 1.6m). Multi temperature LED: 3000K, 4500K, 6000K. Remote included. Not dimmable."
3,Modern Black Floor Lamp,"Matte black LED floor lamp with slim body and round base. Warm white LED (3000K). Foot switch control. Minimalist modern design."
4,Vintage Wooden Table Lamp,"Wooden table lamp with fabric shade. Warm ambient light using E26 bulb. Rustic vintage style. No remote control."
5,Chrome Glass Chandelier,"Chrome chandelier with clear glass globes. Hanging chain installation. Elegant decorative lighting for dining rooms."
6,Industrial Wall Sconce,"Matte black wall sconce with exposed Edison bulb design. Adjustable arm for directing light. Suitable for indoor use in living rooms or hallways."
7,Brass Desk Lamp,"Brass finish desk lamp with adjustable arm and head. Uses E26 bulb for focused task lighting. Classic design for office or study."
8,Contemporary LED Ceiling Light,"Sleek white LED ceiling light with diffuser. Flush mount design. Cool white light (6000K). Energy-efficient and long-lasting."
9,Rustic Lantern Pendant,"Rustic metal lantern pendant light with glass panels. Hanging chain installation. Warm white light for cozy ambiance."
10,Minimalist LED Wall Light,"Slim LED wall light with matte black finish. Provides soft ambient lighting. Easy installation and energy-efficient design."
11,Art Deco Table Lamp,"Art Deco style table lamp with geometric patterns and gold accents. Uses E26 bulb for warm light. Stylish addition to living rooms or bedrooms."
12,Scandinavian Floor Lamp,"Scandinavian design floor lamp with wooden tripod base and fabric shade. Warm white LED (3000K). Foot switch control for easy operation."
13,Mid-Century Modern Chandelier,"Mid-century modern chandelier with brass finish and globe shades. Hanging chain installation. Elegant lighting for dining or living areas."
14,Adjustable Reading Light,"Matte black adjustable reading light with clamp base. Uses E26 bulb for focused illumination. Perfect for desks or bedside tables."
15,Outdoor Solar Lantern,"Solar-powered outdoor lantern with weather-resistant design. Warm white LED light. Ideal for garden or patio use."
